* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01     EP05     TX02     TX04
72C440 2025010101   1015.0   1019.6     14.6     None      8.5       66     11.1      5.4     50.0      6.3     50.0     13.3     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.8     15.9     16.6     17.1    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     16.7     None   -99.95     None     14.8     14.6
72C440 2025010102   1014.4   1019.0     14.7     None      8.0       64     10.8      5.6     50.0      6.6     50.0     12.0     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.7     15.7     16.4     17.0    -99.5     18.8     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        6     16.8     None   -99.95     None     14.9     14.6
72C440 2025010103   1014.1   1018.7     15.2     None      8.4       63     11.0      5.9     50.0      6.2     50.0     11.5     40.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.6     15.6     16.3     17.0    -99.5     18.9     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        6     17.3     None   -99.95     None     15.2     14.7
72C440 2025010104   1014.0   1018.6     15.0     None      8.6       65     11.1      3.8     40.0      6.2     50.0     11.2     70.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.6     15.5     16.2     16.9    -99.5     18.9     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        6     17.0     None   -99.95     None     15.3     15.0
72C440 2025010105   1014.1   1018.7     15.5     None      9.7       68     12.0      4.5     40.0      5.2     50.0      9.5     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.5     15.4     16.1     16.8    -99.5     18.9     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     17.6     None   -99.95     None     15.5     15.0
72C440 2025010106   1014.2   1018.8     15.6     None      9.8       68     12.1      5.1     50.0      5.4     40.0     10.3     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.5     15.4     16.1     16.8    -99.5     18.9     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     17.7     None   -99.95     None     15.6     15.5
72C440 2025010107   1014.3   1018.9     16.0     None     10.1       68     12.3      5.5     50.0      6.0     50.0     11.5     50.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.5     15.3     16.0     16.7    -99.5     18.9     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.01        3     18.1     None   -99.95     None     16.0     15.6
72C440 2025010108   1014.7   1019.3     16.5     None     10.5       67     12.7      5.1     50.0      6.1     50.0     10.9     60.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     15.6     15.3     16.0     16.7    -99.5     18.9     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.13        3     18.8     None   -99.95     None     16.5     16.0
72C440 2025010109   1014.8   1019.3     17.5     None     11.1       66     13.2      5.2     50.0      6.6     50.0     12.0     50.0      0.0     -9.5      0.6     None     None     None     None     None     None     None     None     None     None     None     None     15.8     15.4     15.9     16.6    -99.5     18.9     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.43        2     19.9     None   -99.95     None     17.5     16.5
72C440 2025010110   1014.8   1019.4     18.0     None     11.5       65     13.6      5.4     60.0      6.3     50.0     11.4     40.0      0.0     -9.5      0.9     None     None     None     None     None     None     None     None     None     None     None     None     16.0     15.4     15.9     16.6    -99.5     18.9     19.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.48        1     20.6     None   -99.95     None     18.0     17.5
