* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01     EP05     TX02     TX04
72C440 2025120101   1011.5   1016.0     18.0     None     17.8     99.0     20.4      0.5    140.0      1.5    130.0      2.1    120.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.5     20.3     20.7     20.9    -99.5     22.4     22.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     20.6     None   -99.95     None     18.1     17.7
72C440 2025120102   1010.9   1015.4     18.6     None     18.3     98.0     21.1      1.0    140.0      1.4    140.0      1.9    140.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.5     20.2     20.6     20.9    -99.5     22.4     22.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     21.4     None   -99.95     None     18.6     18.0
72C440 2025120103   1011.1   1015.6     18.8     None     18.6     98.0     21.4      0.4    270.0      1.0    140.0      1.3    280.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.5     20.2     20.6     20.9    -99.5     22.4     22.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     21.7     None   -99.95     None     18.8     18.6
72C440 2025120104   1011.0   1015.5     19.1     None     18.9     99.0     21.8      0.0     None      0.5    150.0      1.2    140.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.5     20.1     20.6     20.8    -99.5     22.4     22.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     22.0     None   -99.95     None     19.1     18.8
72C440 2025120105   1011.5   1016.0     19.5     None     19.4     99.0     22.5      0.0     None      0.9    130.0      1.7    180.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.5     20.1     20.5     20.8    -99.5     22.4     22.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     22.7     None   -99.95     None     19.5     19.0
72C440 2025120106   1011.5   1016.0     19.5     None     19.4     99.0     22.6      0.6    120.0      1.0    150.0      1.9    150.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.5     20.1     20.5     20.8    -99.5     22.5     22.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     22.7     None   -99.95     None     19.6     19.4
72C440 2025120107   1012.2   1016.6     18.2     None     16.2     88.0     18.4      2.2     10.0      3.9    320.0      6.0    320.0      0.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.5     20.1     20.5     20.8    -99.5     22.5     22.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.07        3     20.9     None   -99.95     None     19.8     18.0
72C440 2025120108   1012.5   1017.0     17.1     None     17.1     99.0     19.4      1.0    100.0      2.2     30.0      4.5     20.0      8.0     -9.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     20.1     20.0     20.5     20.8    -99.5     22.5     22.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.07        3     19.5     None   -99.95     None     18.2     17.0
72C440 2025120109   1012.6   1017.2     18.5     None     18.5     99.0     21.1      1.1    140.0      1.6    140.0      2.9    120.0      0.0     -9.5      0.4     None     None     None     None     None     None     None     None     None     None     None     None     20.2     19.9     20.4     20.8    -99.5     22.5     22.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.38        1     21.2     None   -99.95     None     18.4     16.9
72C440 2025120110   1011.8   1016.3     23.2     None     20.6     85.0     23.7      1.3     80.0      1.6     40.0      3.2     10.0      0.0     -9.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     20.6     20.0     20.4     20.7    -99.5     22.5     22.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      1.7        8     28.2     None   -99.95     None     23.1     18.5
