* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01
467050 2025110101   1015.0   1017.5     23.3     None     16.8       67     19.1      6.9     50.0      8.0     50.0     12.6     50.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     28.6     None      0.0
467050 2025110102   1015.0   1017.5     23.1     None     16.7       67     19.0      7.0     50.0      8.1     50.0     13.3     50.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     28.3     None      0.0
467050 2025110103   1014.6   1017.1     23.1     None     16.2       65     18.4      7.4     50.0      7.8     50.0     13.4     60.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     28.3     None      0.0
467050 2025110104   1014.6   1017.1     23.0     None     16.8       68     19.1      7.7     50.0      8.3     50.0     13.2     50.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     28.1     None      0.0
467050 2025110105   1015.0   1017.5     22.8     None     17.3       71     19.7      6.9     50.0      7.9     50.0     11.9     60.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     21.9     22.7     23.7     23.9     24.8     24.9     25.3     27.6     26.6     25.3     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     27.8     None      0.0
467050 2025110106   1015.6   1018.1     22.9     None     16.2       66     18.4      6.5     50.0      8.2     50.0     13.8     40.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     27.9     None      0.0
467050 2025110107   1016.1   1018.6     22.9     None     16.5       67     18.8      7.1     50.0      7.5     50.0     12.5     50.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.06        2     27.9     None     0.03
467050 2025110108   1016.3   1018.8     23.7     None     17.0       66     19.4      8.2     60.0      8.2     60.0     13.4     50.0      0.0      0.0      0.1     16.0     None      3.0      1.2     None        1        7        0        3        5      1.2      8.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.38        1     29.3     None     0.26
467050 2025110109   1016.2   1018.7     23.6     None     16.7       65     19.0      7.9     60.0      8.0     60.0     12.7     70.0      0.0      0.0      0.1     16.0     None     None      1.2     None     None        8        0        0        5      1.2      8.0     21.7     22.5     23.4     23.6     24.6     24.8     25.3     27.5     26.5     25.3     None        0     None     None     None     None     None     None     None     None     None     None     0.78        0     29.1     None     1.33
467050 2025110110   1015.9   1018.4     25.3     None     17.8       63     20.4      7.8     60.0      8.0     60.0     13.8     50.0      0.0      0.0      0.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.64        8     32.2     None     3.04
467050 2025110111   1014.7   1017.2     25.4     None     18.4       65     21.2      9.2     50.0     10.0     50.0     14.4     50.0      0.0      0.0      0.6     16.0     None      3.0      1.2     None        1        8        /        3        5      1.2      9.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     2.11        8     32.4     None     4.53
467050 2025110112   1014.2   1016.7     24.9     None     18.6       68     21.4      9.3     60.0     10.0     50.0     15.7     60.0      0.0      0.0      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.59        7     31.5     None     3.99
467050 2025110113   1013.7   1016.2     24.5     None     18.7       70     21.6      8.7     60.0     10.2     50.0     15.8     40.0      0.0      0.0      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.43        6     30.7     None     3.62
467050 2025110114   1013.2   1015.7     24.4     None     18.4       69     21.2      7.3     60.0     10.2     60.0     15.3     60.0      0.0      0.0      0.0     12.0     None     None      0.6     None     None       10        /        /        5      0.6     10.0     22.4     22.9     23.7     23.8     24.4     24.8     25.3     27.5     26.5     25.3     None        0     None     None     None     None     None     None     None     None     None     None      0.7        7     30.6     None     1.61
467050 2025110115   1013.1   1015.6     24.7     None     17.9       66     20.5      5.6     70.0      7.5     60.0     11.3     80.0      0.0      0.0      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.97        6     31.1     None     1.56
467050 2025110116   1013.0   1015.5     24.0     None     17.7       68     20.3      6.8     70.0      7.2     60.0     11.8     90.0      0.0      0.0      0.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.93        6     29.8     None     0.82
467050 2025110117   1013.5   1016.0     23.4     None     17.2       68     19.6      5.7     70.0      7.5     60.0     12.6     60.0      0.0      0.0      0.0     16.0     None      3.0      0.6     None        8        1        /        7        1      3.0      9.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.15        3     28.8     None      0.1
