* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01
467050 2025100101   1010.0   1012.5     26.3     None     25.1       93     31.9      0.8    220.0      0.8    220.0      1.7    210.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     34.2     None      0.0
467050 2025100102   1009.7   1012.2     26.6     None     25.0       91     31.7      2.0    240.0      2.4    210.0      3.4    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     34.8     None      0.0
467050 2025100103   1009.4   1011.9     26.4     None     24.6       90     30.9      2.0    220.0      2.5    210.0      3.9    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        6     34.4     None      0.0
467050 2025100104   1009.5   1012.0     26.4     None     24.8       91     31.3      1.9    220.0      2.6    210.0      3.6    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     34.4     None      0.0
467050 2025100105   1010.5   1013.0     26.5     None     24.7       90     31.1      0.9    200.0      1.8    220.0      2.7    220.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     28.7     29.1     29.9     30.0     30.5     30.0     28.8     28.8     26.1     24.7     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     34.6     None      0.0
467050 2025100106   1010.9   1013.4     26.3     None     24.7       91     31.1      2.2    180.0      2.2    180.0      3.1    180.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.01        1     34.2     None      0.0
467050 2025100107   1010.8   1013.3     27.1     None     24.9       88     31.5      2.2    190.0      2.3    180.0      3.3    190.0      0.0      0.0      0.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.29        0     35.9     None     0.16
467050 2025100108   1010.9   1013.4     28.9     None     24.3       76     30.4      2.9    190.0      3.0    170.0      4.4    180.0      0.0      0.0      0.9     16.0      7.0     None      1.2        3     None        1        1        0        1     None      4.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     1.03        0     39.8     None     0.98
467050 2025100109   1011.0   1013.5     30.3     None     24.0       69     29.8      3.7    280.0      3.7    280.0      5.7    230.0      0.0      0.0      1.0     16.0      7.0     None      1.2        3     None        1        1        0        1     None      4.0     28.9     29.0     29.7     29.6     30.2     29.9     28.6     28.6     26.0     24.5     None        0     None     None     None     None     None     None     None     None     None     None     1.92        3     43.2     None     2.78
467050 2025100110   1011.2   1013.7     30.8     None     24.2       68     30.2      3.8    270.0      4.3    270.0      6.0    280.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.58        2     44.4     None     5.12
467050 2025100111   1010.9   1013.3     31.3     None     24.2       66     30.2      3.9    290.0      4.1    290.0      6.2    280.0      0.0      0.0      1.0     16.0      7.0     None      0.9        1     None        3        1        0        2     None      4.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     3.05        4     45.7     None     7.23
467050 2025100112   1010.0   1012.4     30.9     None     24.1       67     30.0      4.3    300.0      5.0    310.0      7.5    310.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.22        8     44.7     None     8.07
467050 2025100113   1009.5   1011.9     30.7     None     24.9       71     31.5      3.8    310.0      4.8    300.0      7.1    310.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.14        8     44.2     None     7.57
467050 2025100114   1008.9   1011.3     30.8     None     24.7       70     31.1      3.4    320.0      3.8    320.0      6.2    300.0      0.0      0.0      1.0     16.0     None     None      1.2     None     None        3        0        0        1     None      3.0     31.3     30.4     30.9     30.3     30.0     29.8     28.6     28.6     25.9     24.5     None        0     None     None     None     None     None     None     None     None     None     None     2.84        7     44.4     None     5.91
467050 2025100115   1008.7   1011.1     30.8     None     24.0       67     29.8      3.5     30.0      4.1    320.0      6.5    300.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.15        7     44.4     None     3.34
467050 2025100116   1009.0   1011.5     29.7     None     24.6       74     30.9      3.9     30.0      4.6     20.0      7.3     30.0      0.0      0.0      0.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.92        5     41.7     None     1.37
467050 2025100117   1009.4   1011.9     29.1     None     25.1       79     31.9      3.9     40.0      5.3     20.0      7.3     20.0      0.0      0.0      0.0     16.0     None     None      1.2     None     None        6        0        0        4      1.2      6.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.39        3     40.3     None     0.38
467050 2025100118   1009.5   1012.0     28.6     None     24.8       80     31.3      4.2     40.0      5.0     40.0      7.9     40.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.05        1     39.1     None     0.03
467050 2025100119   1009.7   1012.2     28.4     None     25.4       84     32.4      2.6     60.0      4.8     40.0      7.5     40.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     38.7     None      0.0
467050 2025100120   1010.1   1012.6     28.7     None     23.4       73     28.8      2.8     70.0      2.8     70.0      4.6     70.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     39.4     None      0.0
467050 2025100121   1010.5   1013.0     27.7     None     22.2       72     26.8      1.8     70.0      2.7     70.0      3.6    110.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     29.2     30.1     30.9     31.1     30.7     30.0     28.7     28.7     26.1     24.7     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     37.1     None      0.0
467050 2025100122   1010.8   1013.3     26.3     None     22.8       81     27.8      0.8    100.0      1.9     70.0      3.0     70.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     34.2     None      0.0
467050 2025100123   1010.7   1013.2     25.8     None     22.7       83     27.6      0.4    190.0      0.8    100.0      1.3    190.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     33.2     None      0.0
467050 2025100124   1010.9   1013.4     26.4     None     22.7       80     27.6      1.6    160.0      1.6    160.0      2.7    150.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     34.4     None      0.0
467050 2025100201   1010.7   1013.2     26.6     None     24.1       86     30.0      1.7    150.0      2.2    140.0      3.7    170.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     34.8     None      0.0
467050 2025100202   1010.3   1012.8     26.8     None     24.7       88     31.1      2.1    160.0      2.2    160.0      3.5    200.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     35.2     None      0.0
467050 2025100203   1010.0   1012.5     26.4     None     24.6       90     30.9      1.2    140.0      2.1    160.0      3.2    150.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     34.4     None      0.0
467050 2025100204   1009.8   1012.3     26.5     None     24.4       88     30.6      2.3    180.0      2.5    170.0      3.8    190.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     34.6     None      0.0
467050 2025100205   1010.0   1012.5     26.4     None     24.1       87     30.0      1.9    150.0      2.5    140.0      4.0    150.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     28.3     28.9     29.7     29.9     30.5     30.1     28.7     28.8     26.2     24.7     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     34.4     None      0.0
467050 2025100206   1010.3   1012.8     26.3     None     23.4       84     28.8      1.9    130.0      2.6    150.0      4.0    150.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.01        3     34.2     None      0.0
467050 2025100207   1011.1   1013.6     27.2     None     22.4       75     27.1      1.5    130.0      2.3    130.0      3.6    120.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.21        3     36.1     None      0.1
467050 2025100208   1011.6   1014.1     29.1     None     23.3       71     28.6      2.4    150.0      2.5    150.0      3.8    150.0      0.0      0.0      0.4     12.0      7.0     None      0.9        2     None        4        1        0        2     None      6.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.78        1     40.3     None      0.8
467050 2025100209   1011.6   1014.1     30.5     None     24.4       70     30.6      1.3    210.0      2.4    150.0      4.5    170.0      0.0      0.0      1.0     12.0     None     None      0.9     None     None        7        0        0        2      0.9      7.0     29.2     28.8     29.5     29.5     30.1     29.9     28.5     28.6     26.0     24.6     None        0     None     None     None     None     None     None     None     None     None     None      1.8        0     43.7     None     2.36
467050 2025100210   1011.4   1013.9     31.0     None     24.7       69     31.1      2.4    250.0      2.4    250.0      4.2    250.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.42        0     44.9     None     4.16
467050 2025100211   1011.1   1013.5     31.2     None     24.6       68     30.9      3.6    280.0      3.6    280.0      4.9    280.0      0.0      0.0      0.8     12.0      7.0     None      1.2        4     None        2        1        0        2     None      6.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None      1.9        8     45.5     None     4.85
467050 2025100212   1010.6   1013.0     31.3     None     24.5       67     30.7      3.8    290.0      4.6    270.0      6.2    280.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.06        8     45.7     None     7.51
467050 2025100213   1010.1   1012.5     31.7     None     24.6       66     30.9      3.7    290.0      4.5    300.0      6.6    330.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     3.06        8     46.8     None     7.17
467050 2025100214   1009.6   1012.0     31.0     None     23.7       65     29.3      3.1    300.0      3.8    290.0      6.3    270.0      0.0      0.0      1.0     12.0      7.0     None      0.9        4     None        2        1        0        2     None      6.0     31.2     30.4     30.9     30.3     30.0     29.8     28.5     28.5     25.9     24.5     None        0     None     None     None     None     None     None     None     None     None     None     2.77        7     44.9     None      5.7
467050 2025100215   1009.3   1011.7     30.7     None     23.9       67     29.7      3.6    320.0      3.6    320.0      5.4    290.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.16        7     44.2     None     3.49
467050 2025100216   1009.5   1012.0     30.3     None     24.0       69     29.8      2.4    320.0      3.6    320.0      5.2    320.0      0.0      0.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      1.4        5     43.2     None     1.57
467050 2025100217   1009.9   1012.4     29.7     None     24.1       72     30.0      2.0    320.0      2.7    310.0      4.1    300.0      0.0      0.0      1.0     16.0      7.0     None      1.2        3     None        3        1        0        4     None      6.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.61        3     41.7     None     0.41
