* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01
467050 2025010101   1017.1   1019.7     15.0     None      8.7       66     11.2      7.4     60.0      9.2     60.0     14.0     70.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     17.1     None      0.0
467050 2025010102   1016.8   1019.4     15.2     None      8.0       62     10.7      6.9     60.0      8.4     60.0     12.8     70.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     17.3     None      0.0
467050 2025010103   1016.4   1019.0     15.0     None      8.0       63     10.7      5.5     60.0      7.1     60.0     10.1     70.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     17.1     None      0.0
467050 2025010104   1016.1   1018.7     15.8     None      9.5       66     11.9      7.2     60.0      7.2     60.0     11.6     60.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     17.9     None      0.0
467050 2025010105   1016.1   1018.7     16.1     None      9.5       65     11.9      8.0     60.0      8.8     60.0     13.8     70.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     14.9     14.9     15.2     15.7     17.1     17.5     19.3     21.8     23.1     23.6     None     None     None     None     None     None     None     None     None     None     None     None      0.0        7     18.3     None      0.0
467050 2025010106   1016.3   1018.9     16.1     None      9.5       65     11.9      7.1     60.0      8.1     60.0     12.4     60.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     18.3     None      0.0
467050 2025010107   1016.6   1019.2     16.4     None     10.1       66     12.4      7.5     60.0      8.2     60.0     12.1     60.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.01        3     18.6     None     0.01
467050 2025010108   1017.0   1019.6     16.9     None     10.5       66     12.7      7.5     60.0      8.0     60.0     13.2     60.0      0.0      0.0      0.0     16.0     None      3.0     None     None        9     None        /        7        0      3.0      9.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.17        3     19.3     None     0.23
467050 2025010109   1016.9   1019.5     17.5     None     10.9       65     13.0      6.7     50.0      8.3     60.0     14.2     70.0      0.0      0.0      0.0     16.0     None      3.0     None     None       10     None        /        7        0      3.0     10.0     15.6     15.6     15.3     15.6     17.0     17.4     19.3     21.8     23.1     23.6     None        0     None     None     None     None     None     None     None     None     None     None     0.52        0     20.0     None     0.83
467050 2025010110   1016.8   1019.4     18.0     None     11.3       65     13.4      7.7     50.0      7.7     50.0     11.9     50.0     -9.8      0.1      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        1     None     None     None     None     None     None     None     None     0.62        0     20.6     None     1.55
467050 2025010111   1016.5   1019.1     17.3     None     12.6       74     14.6      5.6     60.0      8.0     50.0     12.5     60.0     -9.8      0.6      0.0     10.0     None      3.0     None     None       10     None        /        2        0      3.0     10.0     None     None     None     None     None     None     None     None     None     None     None        1     None        1     None     None     None     None     None     None     None     None     0.64        8     19.7     None     2.03
467050 2025010112   1015.6   1018.2     17.6     None     12.9       74     14.9      4.8     70.0      5.9     60.0     10.2     50.0     -9.8      1.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        1     None     None     None     None     None     None     None     None     0.61        8     20.1     None     2.24
467050 2025010113   1014.6   1017.2     17.2     None     13.3       78     15.3      4.6     70.0      5.3     80.0      9.8     70.0     -9.8      0.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        1     None     None     None     None     None     None     None     None     0.64        8     19.6     None     2.28
467050 2025010114   1014.4   1017.0     16.8     None     14.1       84     16.1      4.3     60.0      5.1     60.0      8.6     40.0     -9.8      0.9      0.0     16.0     None      2.1     None     None       10     None        /        2        0      2.1     10.0     16.3     16.3     15.8     15.9     17.1     17.4     19.3     21.8     23.1     23.6     None        1     None        1     None     None     None     None     None     None     None     None     0.48        8     19.1     None     1.68
467050 2025010115   1014.3   1016.9     17.2     None     13.5       79     15.5      3.4     60.0      4.5     60.0      8.0     50.0     -9.8      0.5      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        1     None     None     None     None     None     None     None     None     0.28        8     19.6     None     0.85
467050 2025010116   1014.0   1016.6     17.5     None     13.4       77     15.4      3.7     70.0      4.4     60.0      7.7     70.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.22        8     20.0     None     0.43
467050 2025010117   1014.4   1017.0     17.1     None     13.8       81     15.8      2.5     70.0      3.6     70.0      5.1     50.0      0.0      0.0      0.0     20.0     None      2.1     0.45     None        2        8        /        2        4     0.45     10.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.08        4     19.5     None     0.11
467050 2025010118   1014.9   1017.5     16.4     None     14.2       87     16.2      2.7     60.0      3.2     80.0      5.6     70.0     -9.8      0.6      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        1     None     None     None     None     None     None     None     None      0.0        3     18.6     None      0.0
467050 2025010119   1015.6   1018.2     16.3     None     14.3       88     16.3      2.0     60.0      2.7     60.0      4.0     80.0     -9.8      0.2      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        1     None     None     None     None     None     None     None     None      0.0        2     18.5     None      0.0
467050 2025010120   1016.3   1018.9     16.1     None     14.6       91     16.6      0.2      0.0      2.1     70.0      3.2     80.0     -9.8      0.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        1     None     None     None     None     None     None     None     None      0.0        2     18.3     None      0.0
467050 2025010121   1016.2   1018.8     15.8     None     15.0       95     17.1      0.4    100.0      0.8     80.0      1.8     70.0      1.5      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     16.3     16.3     16.1     16.2     17.3     17.4     19.3     21.8     23.1     23.6     None     None     None        1     None     None     None     None     None     None     None     None      0.0        0     17.9     None      0.0
467050 2025010122   1016.1   1018.7     15.8     None     15.2       96     17.3      1.1     70.0      1.1     70.0      2.2     80.0      0.5      0.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     17.9     None      0.0
467050 2025010123   1016.2   1018.8     16.0     None     15.5       97     17.6      0.5    330.0      2.0     90.0      3.1    100.0      1.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     18.2     None      0.0
467050 2025010124   1016.2   1018.8     16.1     None     15.6       97     17.7      1.2     80.0      1.2     80.0      2.5     70.0     -9.8      0.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     18.3     None      0.0
467050 2025010201   1016.3   1018.9     15.8     None     15.2       96     17.3      6.5     40.0      7.2     40.0     10.9     20.0      1.5      0.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     17.9     None      0.0
467050 2025010202   1016.2   1018.8     15.4     None     14.8       96     16.8      6.4     40.0      7.2     30.0     12.7     40.0      2.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        4     17.5     None      0.0
467050 2025010203   1016.6   1019.2     15.3     None     14.5       95     16.5      6.5     40.0      7.4     40.0     12.0     60.0      0.5      0.8     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        3     17.4     None      0.0
467050 2025010204   1016.8   1019.4     15.2     None     13.6       90     15.6      6.4     40.0      7.1     40.0     11.5     50.0      0.5      0.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     17.3     None      0.0
467050 2025010205   1016.7   1019.3     15.7     None     13.0       84     15.0      5.6     50.0      6.9     50.0     11.3     40.0     -9.8      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     15.6     15.6     16.0     16.3     17.4     17.5     19.3     21.8     23.1     23.6     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     17.8     None      0.0
467050 2025010206   1017.0   1019.6     16.2     None     12.9       81     14.9      5.1     50.0      6.4     60.0     10.3     60.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.01        3     18.4     None      0.0
467050 2025010207   1017.7   1020.3     16.5     None     12.5       77     14.5      6.3     50.0      6.8     50.0     12.3     40.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.01        3     18.8     None      0.0
