* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     PS02     TX01     TW01     TD01     RH01     VP01     WD01     WD02     WD04     WD05     WD07     WD08     PP01     PP02     SS01     VS01     CD01     CD02     CD03     CD04     CD05     CD06     CD07     CD08     CD09     CD10     CD11     TS01     TS02     TS03     TS04     TS05     TS06     TS07     TS08     TS09     TS10     ST01     ST02     ST03     ST04     ST05     ST06     ST07     ST08     ST09     ST10     ST11     ST12     GR01     PS11     VP06     SS04     UV01
467050 2025020101   1013.0   1015.6     17.4     None     16.1       92     18.3      4.4    140.0      4.4    140.0      6.8    150.0     -9.8      0.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     19.9     None      0.0
467050 2025020102   1013.0   1015.6     17.6     None     15.9       90     18.1      4.4    140.0      4.9    140.0      8.0    130.0      0.5      0.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     20.1     None      0.0
467050 2025020103   1012.3   1014.9     17.6     None     16.1       91     18.3      4.2    130.0      4.7    130.0      8.0    120.0     -9.8      0.1     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     20.1     None      0.0
467050 2025020104   1011.8   1014.4     18.0     None     16.2       89     18.4      3.4    130.0      4.2    130.0      5.7    120.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     20.6     None      0.0
467050 2025020105   1012.0   1014.6     17.6     None     15.8       89     17.9      0.6     80.0      3.4    130.0      5.4    130.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     16.1     16.1     15.8     15.7     16.5     16.3     18.0     20.3     21.7     22.9     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     20.1     None      0.0
467050 2025020106   1011.8   1014.4     16.6     None     15.5       93     17.6      1.3    350.0      1.6    320.0      2.4    320.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     18.9     None      0.0
467050 2025020107   1011.7   1014.3     16.8     None     15.7       93     17.8      1.6    120.0      2.1     80.0      2.9     80.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.01        8     19.1     None     0.02
467050 2025020108   1012.2   1014.8     18.0     None     16.7       92     19.0      3.4     40.0      3.7     30.0      5.8     30.0      0.0      0.0      0.4     30.0     None      3.0      0.9     None        1        1        0        3        1     None      2.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None        1     None     None     None     None     None     None     None     0.38        3     20.6     None     0.38
467050 2025020109   1012.6   1015.2     18.2     None     16.7       91     19.0      4.4     40.0      5.5     60.0      7.1     60.0      0.0      0.0      0.9     30.0     None      3.0      0.6     None        3        2        0        3        1     None      5.0     16.6     16.6     15.8     15.8     16.6     16.3     18.0     20.3     21.7     22.9     None        0     None     None     None     None     None     None     None     None     None     None      1.1        3     20.9     None     1.55
467050 2025020110   1012.7   1015.3     19.2     None     17.0       87     19.4      2.8     70.0      4.9     50.0      6.5     60.0      0.0      0.0      0.5     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.28        1     22.2     None     2.94
467050 2025020111   1012.0   1014.5     19.4     None     16.8       85     19.1      3.1     30.0      3.4     20.0      4.5     20.0      0.0      0.0      0.0     30.0     None      3.0      1.2     None        4        5        /        7        5     None      9.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     1.33        8     22.5     None      4.1
467050 2025020112   1011.1   1013.6     19.6     None     16.8       84     19.1      4.5     30.0      4.8     30.0      7.2     20.0      0.0      0.0      0.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.17        8     22.8     None     6.26
467050 2025020113   1010.6   1013.1     19.7     None     16.7       83     19.0      5.3     20.0      5.3     20.0      7.9     30.0      0.0      0.0      0.4     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     2.15        7     22.9     None     6.56
467050 2025020114   1010.1   1012.6     18.8     None     16.2       85     18.4      7.0     40.0      7.5     40.0     11.1     40.0      0.0      0.0      0.5     20.0     None     None      0.6     None     None        8        0        0        5      0.6      8.0     17.7     17.7     16.6     16.2     16.8     16.4     18.0     20.3     21.7     22.9     None        0     None     None     None     None     None     None     None     None     None     None     2.15        7     21.7     None     5.61
467050 2025020115   1009.3   1011.9     18.3     None     16.1       87     18.3      6.1     50.0      7.2     40.0     11.6     40.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     1.04        8     21.0     None     2.69
467050 2025020116   1009.8   1012.4     17.8     None     16.3       91     18.5      6.7     50.0      7.2     50.0     11.5     40.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     0.41        5     20.4     None     0.81
467050 2025020117   1009.8   1012.4     17.7     None     16.4       92     18.6      7.3     50.0      8.7     50.0     13.1     50.0      0.0      0.0      0.0     12.0     None     None      0.6     None     None       10        /        /        5      0.6     10.0     None     None     None     None     None     None     None     None     None     None     None        0     None     None     None     None     None     None     None     None     None     None     0.16        5     20.3     None     0.24
467050 2025020118   1010.2   1012.8     17.0     None     15.9       93     18.1      8.8     50.0      9.3     50.0     14.3     40.0      0.0      0.0      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        9     None     None     None     0.01        3     19.4     None     0.01
467050 2025020119   1011.7   1014.3     16.1     None     15.1       94     17.2      9.1     40.0      9.4     40.0     16.4     40.0      0.5      0.8      0.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        1     None     None     None     None        9     None     None     None      0.0        3     18.3     None      0.0
467050 2025020120   1012.3   1014.9     15.5     None     14.7       95     16.7      8.7     50.0      9.6     50.0     15.5     60.0      1.0      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None        1     None     None     None     None     None     None     None     None      0.0        3     17.6     None      0.0
467050 2025020121   1012.4   1015.0     15.2     None     14.2       94     16.2      8.7     50.0      9.9     50.0     16.6    100.0     -9.8      1.0     None     None     None     None     None     None     None     None     None     None     None     None     None     15.9     15.9     16.4     16.5     17.2     16.6     18.0     20.3     21.7     22.9     None     None     None        1     None     None     None     None     None     None     None     None      0.0        3     17.3     None      0.0
467050 2025020122   1013.0   1015.6     14.9     None     13.9       94     15.9      8.4     40.0      9.0     40.0     15.0     50.0      1.5      0.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        2     16.9     None      0.0
467050 2025020123   1013.4   1016.0     14.5     None     13.7       95     15.7      8.3     40.0      9.5     50.0     15.6     40.0      0.5      0.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        1     16.5     None      0.0
467050 2025020124   1012.9   1015.5     14.4     None     13.6       95     15.6      8.4     50.0      8.6     40.0     13.1     50.0      0.5      0.7     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     16.4     None      0.0
467050 2025020201   1013.1   1015.7     14.8     None     14.0       95     16.0      6.6     40.0      8.1     50.0     12.5     60.0      0.5      0.6     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        0     16.8     None      0.0
467050 2025020202   1012.9   1015.5     15.0     None     14.2       95     16.2      5.8     50.0      7.0     50.0     11.0     40.0     -9.8      0.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        5     17.1     None      0.0
467050 2025020203   1012.6   1015.2     15.1     None     14.3       95     16.3      5.6     50.0      6.2     50.0      9.9     30.0     -9.8      0.3     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     17.2     None      0.0
467050 2025020204   1012.4   1015.0     14.2     None     13.6       96     15.6      6.7     40.0      7.5     40.0     12.2     50.0      0.5      0.9     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     16.2     None      0.0
467050 2025020205   1012.2   1014.8     14.3     None     13.7       96     15.7      7.1     40.0      7.5     50.0     12.0     40.0      0.5      0.5     None     None     None     None     None     None     None     None     None     None     None     None     None     15.2     15.2     15.8     16.0     17.0     16.8     18.0     20.3     21.7     22.9     None     None     None     None     None     None     None     None     None     None     None     None      0.0        8     16.3     None      0.0
