* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* SS04 日照時數(約旦)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TG01 草溫(地上氣溫5cm)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TS08 地中溫度200cm(℃)
* TS09 地中溫度300cm(℃)
* TS10 地中溫度500cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* WD09 瞬間極大風發生時間
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno yyyymmddhh     PS01     TX01     RH01     WD01     WD02     WD07     WD08     PP01     SS01     TS01     TS02     TS03     TS04     TS06     TS07     GR01     WD09     TG01
C0C460 2025020101    962.9     14.6       96      0.0      0.0      1.8    113.0      2.0     None     None     None     None     None     None     None     None     0200     None
C0C460 2025020102    962.6     14.6       96      0.7    120.0      2.5    117.0      3.5     None     None     None     None     None     None     None     None     5400     None
C0C460 2025020103    962.3     14.7       96      0.2      0.0      1.9    116.0      2.5     None     None     None     None     None     None     None     None     0100     None
C0C460 2025020104    961.5     14.7       96      0.5    116.0      2.9    110.0      1.5     None     None     None     None     None     None     None     None     5900     None
C0C460 2025020105    961.3     15.0       94      1.9    114.0      4.0    116.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C460 2025020106    961.3     15.6       91      1.4    118.0      4.4    115.0      0.0     None     None     None     None     None     None     None     None     5500     None
C0C460 2025020107    961.2     16.3       85      1.8    116.0      4.0    112.0      0.0     None     None     None     None     None     None     None     None     5900     None
C0C460 2025020108    961.3     16.9       83      1.7    114.0      4.4    119.0      0.0     None     None     None     None     None     None     None     None     1400     None
C0C460 2025020109    961.8     18.0       78      1.5    115.0      4.3    115.0      0.0     None     None     None     None     None     None     None     None     0700     None
C0C460 2025020110    962.1     19.9       75      0.0      0.0      2.6    117.0      0.0     None     None     None     None     None     None     None     None     0400     None
C0C460 2025020111    961.1     20.3       73      0.3    125.0      1.1    121.0      0.0     None     None     None     None     None     None     None     None     4300     None
C0C460 2025020112    960.2     22.6       70      0.4    323.0      2.0    346.0      0.0     None     None     None     None     None     None     None     None     5800     None
C0C460 2025020113    959.7     21.9       65      0.6    357.0      2.1    286.0      0.0     None     None     None     None     None     None     None     None     0200     None
C0C460 2025020114    959.1     21.9       67      0.3    309.0      2.1     53.0      0.0     None     None     None     None     None     None     None     None     0800     None
C0C460 2025020115    958.2     21.6       75      0.8    293.0      3.6    278.0      0.0     None     None     None     None     None     None     None     None     4600     None
C0C460 2025020116    958.4     18.9       85      1.3    281.0      2.8    270.0      0.0     None     None     None     None     None     None     None     None     2300     None
C0C460 2025020117    958.6     17.7       90      0.7      5.0      3.0    351.0      0.0     None     None     None     None     None     None     None     None     4700     None
C0C460 2025020118    958.5     17.2       91      0.0      0.0      2.6      1.0      0.0     None     None     None     None     None     None     None     None     0300     None
C0C460 2025020119    958.9     17.1       89      0.3     65.0      3.2     65.0      0.0     None     None     None     None     None     None     None     None     5300     None
C0C460 2025020120    960.5     15.4       93      0.3     93.0      6.3    346.0      3.0     None     None     None     None     None     None     None     None     1100     None
C0C460 2025020121    960.4     14.6       93      0.4    104.0      4.5    357.0      0.0     None     None     None     None     None     None     None     None     2400     None
C0C460 2025020122    960.8     14.2       93      0.3     57.0      3.2     40.0      0.0     None     None     None     None     None     None     None     None     4900     None
